,Wavelength,Luminosity
0,20000.0,1.2241103593220575e+37
1,19922.303018228908,1.2410027784966152e+37
2,19845.207382417146,1.2581421392467935e+37
3,19768.706138183254,1.2759233493403763e+37
4,19692.792437967706,1.296094407289638e+37
5,19617.4595389897,1.3152294212056036e+37
6,19542.700801250732,1.3335872179038513e+37
7,19468.50968558357,1.353064702963394e+37
8,19394.87975174554,1.3737377154701174e+37
9,19321.804656554923,1.3944002057198813e+37
10,19249.278152069295,1.4145071334402733e+37
11,19177.294083804773,1.4347549985543163e+37
12,19105.846388995033,1.4545440557642556e+37
13,19034.92909488912,1.4743416080902964e+37
14,18964.536317087048,1.4937023412788438e+37
15,18894.66225791214,1.5129644433297058e+37
16,18825.301204819276,1.5317088141577437e+37
17,18756.447528838038,1.5510608501328864e+37
18,18688.095683049898,1.5705678979587769e+37
19,18620.240201098593,1.589545234431169e+37
20,18552.875695732837,1.607535011176047e+37
21,18485.996857380534,1.6251902489473586e+37
22,18419.59845275373,1.6407352172588367e+37
23,18353.675323483527,1.6590063653025982e+37
24,18288.2223847842,1.6794620384883485e+37
25,18223.234624145785,1.7022814593406731e+37
26,18158.70710005448,1.72832504745714e+37
27,18094.63494074007,1.76496875775899e+37
28,18031.013342949875,1.8017724757528175e+37
29,17967.83757074836,1.8434420973866286e+37
30,17905.102954341986,1.897144206792441e+37
31,17842.80488892854,1.9719636529528235e+37
32,17780.938833570413,2.051475633288922e+37
33,17719.500310091258,2.1348471340288897e+37
34,17658.48490199541,2.2279086331371364e+37
35,17597.88825340959,2.330927581921439e+37
36,17537.7060680463,2.4562894679283217e+37
37,17477.934108188412,2.6018606672303428e+37
38,17418.56819369448,2.766795156715086e+37
39,17359.604201024216,2.951914768420091e+37
40,17301.038062283737,3.186261904328051e+37
41,17242.865764290025,3.4370882161410773e+37
42,17185.083347654236,3.7192674259173697e+37
43,17127.68690588336,4.0250520599247815e+37
44,17070.67258449983,4.36100222146604e+37
45,17014.036580178647,4.741767321662002e+37
46,16957.775139901645,5.122986940364386e+37
47,16901.884560128452,5.501885290670393e+37
48,16846.361185983827,5.867690736679906e+37
49,16791.20141046092,6.196243603417268e+37
50,16736.401673640165,6.517102046900057e+37
51,16681.95846192343,6.860779084119607e+37
52,16627.868307283006,7.193019088047152e+37
53,16574.127786525234,7.5613624693056325e+37
54,16520.733520568312,7.965513437262476e+37
55,16467.682173734047,8.397969703048734e+37
56,16414.970453053185,8.789144781800878e+37
57,16362.595107584062,9.131642008985411e+37
58,16310.55292774425,6.636815669093233e+37
59,16258.840744654906,5.651857890925616e+37
60,16207.455429497568,5.905135303650935e+37
61,16156.393892883107,6.140415542112412e+37
62,16105.653084232566,6.340367547146624e+37
63,16055.229991169623,6.511485301510596e+37
64,16005.121638924456,6.657957528510899e+37
65,15955.325089748701,6.792714922638784e+37
66,15905.837442341339,6.911795288067604e+37
67,15856.655831285181,5.468789908063679e+37
68,15807.777426493836,2.8648194353484843e+37
69,15759.19943266882,2.896737048983523e+37
70,15710.919088766692,2.926766147930639e+37
71,15662.933667475918,2.9577248245475004e+37
72,15615.240474703309,2.988017840005482e+37
